date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:58	147369/147369	---M--	200	added ('OK')	image/png	date:Sat,%2019%20Sep%202020%2022:35:53%20GMT	https://cdn.shopify.com/s/files/1/2487/3424/files/bn1_53149ef0-f92a-4804-b600-02e903aa4559.png	C:/My%20Web%20Sites/web/cdn.shopify.com/s/files/1/2487/3424/files/bn1_53149ef0-f92a-4804-b600-02e903aa4559.png	(from http://demo.themeforshop.com/html_fastfood/)
18:51:59	83134/83134	---M--	200	added ('OK')	image/png	etag:%22144be-58a21877f1dd0%22	http://demo.themeforshop.com/html_fastfood/assets/images/newsletter-banner.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/newsletter-banner.png	(from http://demo.themeforshop.com/html_fastfood/)
18:51:59	595/595	---M--	200	added ('OK')	image/png	etag:%22253-58a21877e7da8%22	http://demo.themeforshop.com/html_fastfood/assets/images/btn-left-pro.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/btn-left-pro.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:51:59	666/666	---M--	200	added ('OK')	image/png	etag:%2229a-58a21877de168%22	http://demo.themeforshop.com/html_fastfood/assets/images/btn-right-pro.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/btn-right-pro.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:52:00	6546/6546	---M--	200	added ('OK')	image/png	etag:%221992-58a21877f40f8%22	http://demo.themeforshop.com/html_fastfood/assets/images/round-border.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/round-border.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:52:00	845/845	---M--	200	added ('OK')	image/png	etag:%2234d-58a21877e6250%22	http://demo.themeforshop.com/html_fastfood/assets/images/tp_caption_line1.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/tp_caption_line1.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:52:01	478/478	---M--	200	added ('OK')	image/png	etag:%221de-58a21877cb0b8%22	http://demo.themeforshop.com/html_fastfood/assets/images/btn-left.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/btn-left.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:52:01	481/481	---M--	200	added ('OK')	image/png	etag:%221e1-58a21877b5128%22	http://demo.themeforshop.com/html_fastfood/assets/images/btn-right.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/btn-right.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:52:02	612/612	---M--	200	added ('OK')	image/png	etag:%22264-58a21877d5c98%22	http://demo.themeforshop.com/html_fastfood/assets/images/line-dot.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/line-dot.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:52:04	175/175	---M--	200	added ('OK')	image/png	etag:%22af-58a21877c56e0%22	http://demo.themeforshop.com/html_fastfood/assets/images/dot_contact.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/dot_contact.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:52:07	8868/8868	---M--	200	added ('OK')	image/jpeg	etag:%2222a4-58a21877ba330%22	http://demo.themeforshop.com/html_fastfood/assets/images/bg-newsletter.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/bg-newsletter.jpg	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:52:07	17919/17919	---M--	200	added ('OK')	image/png	etag:%2245ff-58a21877f2988%22	http://demo.themeforshop.com/html_fastfood/assets/images/list_payment.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/list_payment.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:52:07	5488/5488	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221570-58a2187797c68%22	http://demo.themeforshop.com/html_fastfood/assets/fonts/cs-font.eot	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/fonts/cs-font.eot	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/font-icon.css)
18:52:08	5324/5324	---M--	200	added ('OK')	application/font-sfnt	etag:%2214cc-58a2187798c08%22	http://demo.themeforshop.com/html_fastfood/assets/fonts/cs-font.ttf	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/fonts/cs-font.ttf	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/font-icon.css)
18:52:09	5400/5400	---M--	200	added ('OK')	application/font-woff	etag:%221518-58a2187790f08%22	http://demo.themeforshop.com/html_fastfood/assets/fonts/cs-font.woff	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/fonts/cs-font.woff	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/font-icon.css)
